(-2.25401521,7.424718118)
(-2.056694788,7.651636603)
(-1.829776303,7.819358962)
(-1.573259755,8.036411426)
(-1.346341269,8.194267764)
(-1.139154826,8.34225808)
(-1.326609227,8.213999806)
(-1.523929649,8.085741532)
(-1.71138405,7.88842111)
(-1.898838451,7.789760899)
(-1.879106409,7.996947342)
(-1.790312219,8.292927975)
(-1.592991797,8.559310544)
(-1.306877185,8.736898924)
(-1.040494615,8.845425156)
(-0.7741120456,8.904621283)
(-0.3893372228,8.924353325)
(-0.08349056878,8.914487304)
(0.2124900642,8.766496987)
(0.6169969292,8.756630966)
(0.9820397098,8.756630966)
(1.15962809,8.746764945)
(0.903111541,8.746764945)
(0.6367289714,8.756630966)
(0.3210162962,8.766496987)
(0.005303621098,8.707300861)
(-0.3202750751,8.628372692)
(-0.6557197925,8.549444523)
(-0.9418344043,8.440918291)
(-1.139154826,8.401454207)
(-1.129288805,8.154803679)
(-1.040494615,8.006813363)
(-1.139154826,8.1646697)
(-1.149020847,8.401454207)
(-1.070092679,8.667836776)
(-0.8333081722,8.884889241)
(-0.5175954971,9.023013536)
(-0.1328206743,9.190735895)
(0.2124900642,9.230199979)
(0.5084706971,9.210467937)
(0.8340493933,9.092075684)
(1.120164005,8.914487304)
(1.238556258,8.727032903)
(1.623331081,8.588908608)
(1.909445693,8.480382376)
(2.15609622,8.283061954)
(2.452076853,8.056143468)
(2.678995339,7.730564772)
(2.846717697,7.44445016)
(2.945051759,7.157194025)
(3.056350261,6.951719867)
(3.107718801,6.677754322)
(3.293895139,6.614395143)
(3.450080052,6.500806115)
(3.542371137,6.344621202)
(3.535271823,6.17423766)
(3.471377995,6.018052747)
(3.194504739,6.074847261)
(2.953128055,6.096145204)
(2.690453429,6.096145204)
(2.427778802,6.074847261)
(2.136706918,5.98965549)
(1.852734349,5.861867834)
(1.717847378,5.698583606)
(1.632655607,5.741179492)
(1.448073437,5.925761662)
(1.199597439,6.074847261)
(0.9440221261,6.17423766)
(0.6387516139,6.195535603)
(0.340580416,6.17423766)
(0.04950853223,6.089045889)
(-0.2486626657,5.947059605)
(-0.4474434644,5.762477435)
(-0.6320256346,5.556597322)
(-0.7101180912,5.372015152)
(-0.7456146624,5.230028867)
(-0.6817208342,5.116439839)
(-0.5610324922,5.123539153)
(-0.5184366068,5.20163161)
(-0.6036283776,5.315220638)
